"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"CIDV010"	"V010 - 1,4-Dichlorobenzene"	"V010 - 1,4-Dichlorobenzene: Chemid in Region_5 = 110"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	35
"CONCV010"	"CONC:1,4-Dichlorobenzene-Air(ug/m3)"	"Concentration for V010"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"573.6"	""	""	"H,P"	""	"4604.668145"	36
"DLCV010"	"CDTLM:1,4-Dichlorobenzene-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV010"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".1661"	"7.753"	"-333"	""	"N"	""	"-150728.6156"	37
"USECV010"	"CDQFG:1,4-Dichlorobenzene-Air"	"Data quality flag for CONCV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"145"	38
"CMTCV010"	"CDQI:1,4-Dichlorobenzene-Air"	"Data quality indicator for CONCV010"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	39
"DFLCV010"	"CDTIN:1,4-Dichlorobenzene-Air"	"100*Detection indicator for CONCV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"45400"	40
"UNTCV010"	"CUNIT:1,4-Dichlorobenzene-Air"	"Measurement units  for CONCV010"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	41
"AN1CV010"	"FCONC:1,4-Dichlorobenzene-Air(ug/m3)"	"Final concentration for V010"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"573.6"	""	""	"H,P"	""	"4590.971155"	42
"AN2CV010"	"FCDTN:1,4-Dichlorobenzene-Air"	"100*Detection indicator for AN1CV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"45400"	43
"CIDV011"	"V011 - Benzene"	"V011 - Benzene: Chemid in Region_5 = 111"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	44
"CONCV011"	"CONC:Benzene-Air(ug/m3)"	"Concentration for V011"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"156.3"	""	""	"H,P"	""	"7249.7096"	45
"DLCV011"	"CDTLM:Benzene-Air(ug/m3)"	"Detection limit or Quantitation limit for CONCV011"	"NUMBER"	14	"F14.7"	"ug/m3"	""	".6828"	"3.117"	"-333"	""	"N"	""	"-330327.409"	46
"USECV011"	"CDQFG:Benzene-Air"	"Data quality flag for CONCV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"146"	47
"CMTCV011"	"CDQI:Benzene-Air"	"Data quality indicator for CONCV011"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	48
"DFLCV011"	"CDTIN:Benzene-Air"	"100*Detection indicator for CONCV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"99200"	49
"UNTCV011"	"CUNIT:Benzene-Air"	"Measurement units  for CONCV011"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	50
"AN1CV011"	"FCONC:Benzene-Air(ug/m3)"	"Final concentration for V011"	"NUMBER"	14	"F14.7"	"ug/m3"	""	"0"	"156.3"	""	""	"H,P"	""	"7249.3101"	51
"AN2CV011"	"FCDTN:Benzene-Air"	"100*Detection indicator for AN1CV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"99400"	52
